,class1,Abstract,class1_id
10,Adipose Tissue  Appetite  and Obesity,chronic grade inflammation adipose tissue promotes metabolic complications obesity adipose resident natural killer leukocytes known modulate inflammatory state previous studies humans revealed negative correlation amount adipose resident diabetes factors adiposity insulin resistance suggesting preserving metabolic however recent reported obesity promotes expansion distinct interleukin receptor expressing subpopulation systemic grade inflammation insulin resistance adipose resident metabolic complications obesity still explored unclear adipose resident humans obesity influenced methods convenience sample adults obesity nondiabetic serious medical conditions studied clinical center composition measured subcutaneous abdominal adipose tissue obtained liposuction technique collagenase digestion resulting stromal vascular fraction analyzed cytometry using flowjo software activated identified markers analyzed percentage adipose resident leukocytes ancova examine effects controlling secondary analyses examined differences could accounted differences adiposity insulin resistance groups results among studied sample hispanic black hispanic white hispanic female ancova analysis revealed activated pairwise comparisons among groups demonstrated hispanic adults significantly greater activated adults differences adults activated findings remained unchanged adjusting conclusions cohort hispanic adults greater proportion subcutaneous abdominal adipose tissue activated cells compared adults studies warranted mechanisms underlying differences determine differences clinical implications progression cardiometabolic disease character limit characters without spaces,0
11,Adipose Tissue  Appetite  and Obesity,beverages nutritive nonnutritive sweeteners obesity related diseases explanation nutritive sweeteners clear consumption increases calories intake however mechanisms calories sweeteners elucidated given levels drinks consumption around world important identify advantages disadvantages consume beverages different sweeteners evaluate hormonal glucose response intake drinks nutritive nonnutritive sweeteners methods conducted crossover trial women compare glucose hormonal acute response drinking following beverages random order drink sucrose drink aspartame acesulfame drink sucrose stevia sparkling water measured serum levels glucose insulin peptide glucagon leptin ghrelin consumption beverage washout period beverages consumption every occasion participants hours fasted consume hours consumption beverage evaluated changes biochemical levels analyzed differences different periods curve absolute change results expected observed increase glucose insulin consumption drink sucrose subsequent addition decrease ghrelin levels despite sucrose content drink stevia observed lightly increase glucose levels important decrease lowest levels comparison beverages around glucose changes could explained increase response observed insulin decreased leptin consumption although glucose levels similar sparkling water aspartame acesulfame observed lower glucagon higher ghrelin levels consumption drink aspartame acesulfame conclusion drinks nonnutritive sweeteners inert could affect appetite regulating hormones influence intake could partly explain beverages obesity however differences observed drinks glucose hormones responses could advantageous individuals deleterious others nothing disclose funding mexican federal fundus,0
12,Adipose Tissue  Appetite  and Obesity,proportion population normal weight obesity normal index disproportionately percentage higher cardio metabolic disorders possibly dysregulated adipokines secreted adipose tissue methods cross sectional analysis working adults atlanta performed determine circulating adiponectin apelin levels composition assessed using energy absorptiometry population divided three groups overweight obese defined index women results according composition subtypes subjects categorized overweight obese plasma adiponectin levels significantly higher group compared overweight obese group adiponectin inversely total percentage waist circumference waist ratio android percentage however positive association gynoid percentage adiponectin levels independent plasma apelin levels significantly indicators adiposity conclusion indicate plasma apelin levels reliably obesity phenotypes whereas plasma adiponectin levels elevated among subjects plasma adiponectin levels decreased increasing central adiposity positively accumulation gynoid region thighs interventions targeting changes distribution warranted,0
13,Adipose Tissue  Appetite  and Obesity,identifying metabolites responsible mediating effects macronutrients hormone release glucose homeostasis backgroundobesity escalating problem better understanding physiological regulation appetite identify targets pharmacological nutraceutical agents prevent treat obesity meals specific macronutrients specific effects release appetite regulating hormones glucose homeostasis subjective feelings appetite effects occur relatively early following digesta present within stomach duodenum however products digestion sensed drive changes relatively poorly characterised hypothesised ingestion protein carbohydrate meals healthy human volunteers would yield digesta varied metabolomic profiles metabolites could linked differential effects meals hormone levels glucose homeostasis appetite methodsthis single blinded crossover healthy volunteers received liquid isocaloric protein carbohydrate orally three separate randomised order following overnight meals contained energy content enriched macronutrient energy content macronutrient categories gastric nasoduodenal tubes placed allow sampling stomach duodenum respectively blood gastrointestinal content sampling carried three period metabolic profiling techniques including nuclear magnetic resonance spectroscopy liquid chromatography spectrometry measurement hormones markers glucose homeostasis resultsthe protein significantly greater increases glucagon peptide glucagon significantly lower circulating glucose levels meals carbohydrate different types distinct metabolite profiles specific metabolites stomach duodenum levels interestingly levels bacterial produced metabolites present upper linked hormone release conclusionidentifying metabolites drive early phase anorectic hormone release facilitate understanding regulation appetite andmay allow development treatments obesity metabolic disease,0
14,Adipose Tissue  Appetite  and Obesity,energy expenditure important factor maintenance weight response restriction mechanism adaptation restriction involves enzyme nicotinamide methyltransferase enzyme catalyzes methylation nicotinamide methylnicotinamide controls polyamines correlated index energy metabolism polymorphism related cardiovascular damage nonalcoholic steatohepatitis however clear influence variation response restriction examined effect hypocaloric energy expenditure activity nicotinamide methyltransferase enzyme metabolites diacetylespermine diacspm evaluated polymorphism fifty seven obese subjects followed weeks hypocaloric anthropometry registered resting caloric expenditure evaluated indirect calorimetry fasting blood sample obtained intervention determination metabolites extraction leptin insulin levels quantified elisa diacspm genotyping polymorphism carried results showed weight cases decreased intervention triglycerides levels significantly decreased diacspm concentrations increased intervention however concentrations similar according genotypes baseline carriers genotype similar higher triglycerides levels lower leptin concentrations carriers genotype oxygen consumption marginally elevated genotype carriers differences diacspm concentrations genotype groups intervention triglycerides concentration showed decrease subjects genotype subjects genotype diacspm levels decrease baseline individuals weight levels lower leptin levels obese subjects larger decrease levels findings suggest caloric expenditure leptin levels therefore genotype appears related higher triglycerides levels source conacyt basic grant ciforea university guanajuato grant,0
15,Adipose Tissue  Appetite  and Obesity,ghrelin orexigenic hormone plays modulating intake energy balance typically plasma ghrelin levels preceding shortly consumption potential differences impact response obese individuals previously examined despite epidemiologic evidence indicating obese adults likely shift majority caloric intake later examined plasma ghrelin group matched healthy obese individuals laboratory setting controlled sleep energy expenditure amount composition timing caloric intake total individuals participated women obese women groups similar obese index obese versus group following experimental nights normal sleep laboratory blood sampling performed continuously intervals total ghrelin measured radioimmunoassay linco charles participants ingested isocaloric identical carbohydrate meals carbohydrate protein total caloric intake ratings hunger appetite assessed prior meals consistent previous reports ghrelin levels decreased across entire period obese compared participants examine differences responses independently overall ghrelin level individual profile expressed percentage profiles analyzed anova repeated measures participants random factor sampling group versus obese interaction group fixed effects despite identical meals difference ghrelin levels obese participants observed midday group effect morning evening reduced prandial suppression ghrelin obese participants middle coincident higher hunger appetite scores group effects hunger appetite participants contrast morning rating hunger appetite similar groups findings reveal obesity inadequate suppression prandial ghrelin response presented middle alteration ghrelin regulation mechanism hunger appetite increased obese individuals afternoon contribute tendency delaying caloric intake later,0
16,Adipose Tissue  Appetite  and Obesity,overall develop nutrient formulations enhance activity based appetite gluco regulatory pathways obesity glucose management gastric bypass surgery enteral feeding studies demonstrated adequate caloric loads nutrient delivered jejunum ileum enhance satiety increase levels appetite gluco regulatory hormones specific compare timing magnitude changes peptide insulin glucose measures appetite adverse symptoms following ingestion single delayed release nutrient formulation single unformulated nutrient adults obesity diabetes preparation designed manufactured delayed release nutrient formulation comprising particles mixed macronutrient sugars protein encapsulated grade sensitive ethylcellulose sodium alginate coating vitro dissolution testing equivalent gastric hours followed testing equivalent small intestinal hours showed dissolution hours dissolution hours design prospective crossover pilot nineteen subjects acted controls paired tolerance studies apart randomized order encapsulated encapn unencapsulated nutrient subjects fasted overnight diabetes medication morning subjects ingested either encapn coating materials subjects quietly intake blood samples drawn symptoms assessed using visual analog scale every minutes results encapn ingestion significantly later encapn slope increased minutes tolerance decreased slopes significantly different differ groups glucose peptide insulin peaked significantly later lower encapn significantly lower minimal differences measures appetite groups adverse effects minimal groups conclusions adults obesity diabetes encapsulation nutrient grade delayed release coating later circulating lower glucose peptide insulin levels unformulated nutrient studies required determine timing amount encapsulated nutrient release order optimize activation based appetite gluco regulatory pathways,0
17,Adipose Tissue  Appetite  and Obesity,generalized lipodystrophy ultra disorder characterized adipose tissue hyperphagia altered physical appearance increased organ abnormalities potentially accelerated death complications reported small scale studies understanding disease burden limited largest assessing burden illness using longitudinal retrospective multi center medical chart review medical records patients confirmed related never treated leptin replacement therapy national institutes university michigan dokuz eylul university turkey reviewed observed birth follow death chart abstraction first symptoms defined onset related signs symptoms diabetes elevated physical characteristics assessed visit lifetime prevalence organ abnormalities liver pancreas including diabetes kidney heart determined kaplan meier curves describe first organ abnormality first symptoms progression organ abnormality first organ abnormality death birth varying model describe association number organs abnormalities death hazard ratio confidence interval reported among eligible female experienced first symptoms years diagnosis occurred years later congenital acquired generalized progeroid lipodystrophy physical characteristics often observed muscular appearance hepatomegaly facial prominent veins acanthosis nigricans lifetime prevalence organ abnormalities liver pancreas diabetes pancreatitis kidney heart organ abnormalities appearance first symptoms median first organ abnormality years second organ abnormality median years later among median death years positive association existed number organs abnormalities death large documents burden first quantify organ abnormalities survival mortality patterns association organ abnormalities death since severe patients sought leptin therapy ongoing studies evaluation leptin patients underestimate impact patients,0
18,Adipose Tissue  Appetite  and Obesity,lipodystrophies disorders characterized deficient adipose tissue endogenous leptin concentrations leading severe metabolic complications treatment recombinant human leptin metreleptin significantly improves metabolic complications especially patients treatment endogenous leptin concentration radioimmunoassay measure leptin enzyme linked immunosorbent assay elisa commonly present analyze relationship endogenous leptin measured millipore versus elisa methods millipore systems patients generalized partial lipodystrophy determine leptin point predictive response analysis assay patients treated prospective single label sample patients positive correlations found among leptin levels measured three assays median range millipore millipore elisa elisa patients treated differences among leptin levels different assays median range millipore millipore elisa elisa longer leptin concentrations analyzed standard deviation scores responsiveness defined reduction triglycerides glycosylated hemoglobin responders responders identified analysis showed similar accuracy discrimination responders versus responders endogenous leptin independent assay millipore elisa elisa optimal leptin points prediction responsiveness identified analysis millipore elisa elisa points sensitivity specificity conclusion elisa measurements leptin levels patients lipodystrophy biologically comparable analyzed standard deviation scores leptin levels differ among assays require mathematical conversion lower leptin levels clinical response identify point sensitive specific predict response however findings might explained small sample relatively leptin levels limited biological variability additional analyses larger samples including patients higher endogenous leptin needed,0
19,Adipose Tissue  Appetite  and Obesity,partial lipodystrophy heterogeneous metabolic disorder characterized selective absence adipose tissue periphery severe insulin resistance ectopic deposition especially liver metreleptin manufactured aegerion pharmaceuticals cambridge shown metabolic improvement amelioration hepatic deposition reduction nonalcoholic steatohepatitis scores patients since patients respond uniformly interested evaluating clinical predictors leptin response completed clinical trial investigating efficacy liver cohort patients previously reported results niddk sponsored clinical trial primary endpoint reduction total nonalcoholic steatohepatitis scores patients familial acquired female years nafld recruited completed treatment completers point reduction total score months therapy without increase fibrosis scores definition clinical response selected baseline triglyceride insulin fasting glucose levels total adiposity baseline hepatic percent baseline total energy intake total carbohydrate protein intake baseline resting energy expenditure respiratory quotient leptin levels potential predictors response completion trial analyses baseline parameters determine predicted responder status clinically meaningful histological improvement liver preselected parameters curve curves baseline carbohydrate intake ranking predictor response insulin leptin reached statistical baseline triglyceride glucose concentrations predict amelioration liver histopathology baseline adiposity hepatic discriminatory either interestingly consistently responders significantly higher carbohydrate intake compared responders reduction carbohydrate intake trial effect evident months sustained throughout months optimal point estimated baseline leptin measured millipore elisa predict response youden moderate sensitivity specificity results liver disease patients driven relative leptin deficiency linked increased consumption carbohydrates,0
20,Adipose Tissue  Appetite  and Obesity,congenital generalized lipodystrophy inherent acquired process characterized generalized adipose tissue predisposition development resistance insulin complications diabetes dyslipidemia initially reported brazil brothers gigantism dyslipidemia hepatomegaly since described cases majority inbred families inherent congenital neonatal congenital prevalence millions characterized since birth early childhood neonatal presents later manifestations autosomal recessive disorder different types mutations agpat first prevalent diagnosis clinic includes general partial localized proportional metabolic complications muscle hypertrophy prominent superficial veins hyperphagia pseudoacromegaly resistance signs insulin acanthosis nigricans hirsutism cliteromegaly menstrual disorders hypertriglyceridemia pancreatitis severe cases diabetes tends ketosis resistant endogenous hyperinsulinemia treatment includes healthy regular exercise hypertriglyceridemia derived fibric omega diabetes metformin sulfonylurea insulin metreleptin avoid complications clinical woman diabetes mellitus since months treatment insulin referred endocrinology glycemic control dyslipidemia physical examination coarse facies marked absence subcutaneous trunk extremities presence acanthosis nigricans fibroids muscle hypertrophy prominent veins extremities paraclinical exams proteinuria renal ultrasound changes chronic nephropathy echocardiogram concentric hypertrophy ventricle diastolic dysfunction patient microvascular complications healthy lifestyle habits reinforced insulin titrated metformin added achieving better metabolic control conclusions present patient neonatal diabetes ketosis resistant metabolic control clinic findings paraclinical since childhood suggestive congenital lipodystrophy highlights importance adequate anamnesis physical paraclinical studies allow detect pathologies although prevalent important morbidities recognize appropriate treatment,0
21,Adipose Tissue  Appetite  and Obesity,lipodystrophy syndromes uncommon disorders characterized subcutaneous adipose tissue insulin resistance metabolic complications barraquer simons syndrome lipodystrophy known acquired partial lipodystophy usually begins childhood adolescence follows cephalocaudal trend accumulation buttocks autoimmune diseases seldom insulin resistance metabolic abnormalities reported cases european descent since identification disease cases reported united states report latin woman sixth decade atypical presentation metabolic derangements metabolic control improved short pioglitazone therapy together insulin clinical woman diabetes mellitus hypertensive vascular disease cardiac arrhythmias pancreatitis hyperlipidemia referred endocrinologist office glycemic metabolic control family history cardiovascular disease patient treated diabetes lantus humalog mixed hyperlipidemia treated stain fibrates omega hypertensive vascular disease clinical examination revealed adipose tissue upper extremities trunk buttocks phlebomegaly upper extremities initial laboratory showed normal cholesterol normal triglycerides normal normal densitometry performed patient diagnostic criteria osteoporosis started vitamin teriparatide follow visits showed better glycemic control insulin regimen optimized continues hyperlipidemia pioglitazone added current treatment follow visit month showed better glycemic lipid control conclusion atypical presentation patient acquired partial lipodystrophy rapid improvement metabolic control started pioglitazone aggressive insulin therapy barraquer simons syndrome contrast lipodystrophies rarely found metabolic complications patients reported diabetes cases published improvement metabolic complications glitazones,0
22,Adipose Tissue  Appetite  and Obesity,visceral adipose tissue obesity secretes inflammatory atherogenic adipokines creating state inflammation enhanced local hypoxia condition strictly related altered relationships among resident cells including macrophages adipose derived cells shown visceral disfunctional account cytokines secretion obese individuals atypical behavior visceral obeses could influenced tissue estrogen levels exposure environmental toxicants often lipophilic analyze features isolated subcutaneous visceral adipose tissues normal obese subjects particular regard expression hydrocarbon receptor alpha isoform genes respectively basal conditions hypoxia exposure results analysis useful clarify specific susceptibility estrogens environmental contaminants isolated obtained obese subjects obese individuals respectively analyzed expression levels quantitative basal conditions hypoxia exposure inflammatory response hypoxic stimulus analyzed alpha nuclear translocation western expression inflammatory genes basal conditions expression levels significantly higher control obese groups indicating particular visceral susceptibility environmental contaminants local estrogens hypoxia didnt stimulate activation mainly exerted inhibitory effect inflammatory genes contrary showed marked prolonged biphasic hypoxia induced activation followed increased expression inflammation related fibrogenic genes hypoxic stimulus induced decrease expression levels indeed slight increase observed contrary hypoxic stimulus expression levels showed increasing trend populations although highest extent subcutaneous preadypocites hypoxia adaptation counteract inflammatory response groups obese subjects hypoxia reduction expression levels could control pathway since nuclear factors positively enhance inflammatory response homeostatic response consistent prolonged hypoxia induced activation,0
23,Adipose Tissue  Appetite  and Obesity,partial lipodystrophy syndromes characterized regional deficiency adipose tissue typically buttocks extremities patients metabolic complications including markedly triglycerides diabetes mellitus alcoholic fatty liver disease often cannot controlled conventional medications apolipoprotein apociii contributes inhibiting lipoprotein lipase hepatic lipoprotein remnant uptake enhancing hepatic assembly secretion patients elevated apociii correlates elevation hypothesized reducing apociii using volanesorsen antisense oligonucleotide apociii would lower improve insulin sensitivity glycemia adults enrolled placebo controlled randomized double blind volanesorsen weekly followed label extension outcomes include insulin sensitivity glucose infusion euglycemic hyperinsulinemic clamp baseline placebo controlled period months label safety tolerability endpoints include platelets injection reactions three patients randomized patient respectively patient patient patient patient patient adverse events include injection reactions decreased platelets label period platelets decreased twice patient patient cases platelets increased holding single patient injection reactions almost weekly starting patient weekly injection sites patient volanesorsen decrease label period improved volanesorsen patient decrease placebo controlled phase little change glycemia point patient follow preliminary clinical trial volanesorsen large sustained reduction later improvement insulin sensitivity kassai brown effect leptin administration circulating apolipoprotein levels patients lipodystrophy journal clinical endocrinology metabolism acknowledgements akcea therapeutics supplier volanesorsen,0
24,Adipose Tissue  Appetite  and Obesity,previous studies shown enriched reduce diabetic patients positive probably antioxidant properties already demonstrated enriched natural antioxidant fruits vegetables improve effects metformin patients affected insulin resistance performed preliminary longitudinal patients affected metabolic syndrome evaluating effects insulin resistance order compare effects different kinds dietary antioxidant treatments enrolled patients females males years range divided three groups hypocaloric patients hypocaloric enriched mixed dried fruits almonds patients hypocaloric enriched fruit vegetables patients personalized program caloric intake ranging administred twelve weeks standard glucose evaluation glucose insulin response performed together basal evaluation serum total cholesterol triglycerides index parameter insulin resistance three groups exhibited decrease values group group group values comparable decrease insulin observed group significantly greater group group slightly increased preliminary suggest differential metabolic response various regimens natural antioxidant enriched diets physiopathological mechanisms remain elucidated,0
25,Adipose Tissue  Appetite  and Obesity,prevalence overweight obesity furthermore prevalence severe obesity higher female population increases index reduce expectancy poorer quality patients effective treatment bariatric surgery tools measure short questionnaire specific instruments reporting outcomes bariatric surgery bariatric assessment reporting outcomes system baros tools validated country never evaluation bariatric surgery objectives describe mexican patients bariatric surgery materials methods performed transversal evaluation patients patients patients bariatric surgery obesity clinic hospital especialidades centro medico nacional siglo tertiary referral center patients included older years greater candidates bariatric surgery assessed surgery questionnaire surgery baros system results population years female initial severe obesity super obesity greater super super obesity surgery questionnaire score points points points points physical mental components respectively surgery changes physical component significantly different physical function points general points mental component showed difference vitality points baros system demonstrated excellent results patients first three months bariatric surgery tended stabilize parameters evaluated improved exception sexual outcome conclusions mexican patients improved bariatric surgery assessed questionnaire baros system,0
